feature,importance
num__stem-width,0.09900178726434611
num__stem-height,0.061734414372958776
num__cap-diameter,0.05189239703498777
cat__stem-color_w,0.04646143895822519
cat__gill-spacing_d,0.031672602897735436
cat__gill-spacing_c,0.025021597616157163
cat__ring-type_z,0.02472749977424606
cat__stem-surface_s,0.02190240716127917
cat__gill-color_w,0.021257853356305256
cat__gill-attachment_d,0.021086919050841757
cat__stem-root_b,0.020417287680662546
cat__gill-attachment_p,0.019741511519450066
cat__cap-color_r,0.017792220161864075
cat__gill-attachment_x,0.017207554109527665
cat__cap-surface_g,0.015431283635483791
cat__stem-surface_g,0.015149360275156768
cat__does-bruise-or-bleed_t,0.014744152851065853
cat__cap-shape_x,0.014694540239921526
cat__does-bruise-or-bleed_f,0.014284627276583205
cat__cap-shape_c,0.013939022723942313
cat__gill-attachment_a,0.013338217107478696
cat__stem-root_r,0.013278510100564118
cat__cap-surface_s,0.01325490309543917
cat__has-ring_f,0.012927098924715278
cat__cap-surface_k,0.012574412892431908
cat__has-ring_t,0.012530818499520247
cat__cap-shape_b,0.012397254559342694
cat__gill-color_p,0.012206942728504151
cat__stem-color_y,0.011904595887971452
cat__gill-color_y,0.01180558978166426
cat__cap-color_e,0.011720042242006816
cat__cap-surface_t,0.01151740313949693
cat__cap-color_n,0.010816632297970587
cat__gill-attachment_e,0.009660234549701576
cat__cap-surface_e,0.0092205501421974
cat__stem-root_c,0.00907527805635793
cat__stem-surface_t,0.008771532527498441
cat__stem-color_n,0.00876046652622947
cat__cap-surface_l,0.007996410766386335
cat__stem-root_s,0.007686549309375851
cat__stem-color_p,0.007606635279763883
cat__cap-surface_h,0.00731728623379374
cat__cap-surface_d,0.007290427649118284
cat__gill-color_o,0.007141615691026558
cat__gill-attachment_s,0.00698180775370197
cat__gill-color_n,0.006731392053960737
cat__cap-surface_i,0.006715719250828248
cat__cap-shape_f,0.006595038284965873
cat__spore-print-color_k,0.0064587479540443825
cat__cap-surface_y,0.006437409864371355
cat__habitat_g,0.006367120836418158
cat__stem-surface_y,0.006290050557265556
cat__cap-color_p,0.005884251271006008
cat__ring-type_f,0.005687336637701653
cat__cap-color_w,0.005610429264939575
cat__cap-color_y,0.005075859164724987
cat__gill-color_r,0.005069908987722452
cat__ring-type_r,0.004830959750165751
cat__habitat_d,0.004579696481270109
cat__stem-color_g,0.004559391918498947
cat__gill-color_g,0.004432851674390325
cat__stem-surface_i,0.004422957177590848
cat__gill-color_e,0.004233847880209565
cat__cap-surface_w,0.004052998139334634
cat__cap-color_u,0.003981173086059079
cat__season_w,0.003759759891631699
cat__cap-color_g,0.00322754696778143
cat__cap-color_o,0.0029941050532305146
cat__habitat_m,0.002951944285341419
cat__spore-print-color_w,0.002689934905876908
cat__gill-attachment_f,0.0026231125292092688
cat__cap-shape_s,0.0025556895749987646
cat__gill-spacing_f,0.0025024359575816315
cat__stem-color_o,0.002498491824376873
cat__stem-color_e,0.0024981455554949432
cat__stem-surface_h,0.0024965439206303093
cat__ring-type_e,0.0023618266560784156
cat__gill-color_f,0.0022575728704387317
cat__ring-type_g,0.0020992040184286483
cat__stem-color_u,0.0019755702539775034
cat__veil-color_w,0.0019203068460040976
cat__ring-type_l,0.0016261117844014337
cat__habitat_l,0.0016232893575178185
cat__cap-shape_o,0.0015507695804259662
cat__stem-surface_k,0.0015487989457581126
cat__ring-type_p,0.0015319597344096456
cat__veil-color_u,0.001488919009604459
cat__ring-type_m,0.0014071092888896283
cat__spore-print-color_p,0.001385497534918767
cat__stem-color_k,0.001180714778550922
cat__gill-color_k,0.001165461562376591
cat__cap-shape_p,0.0010587046580512924
cat__cap-color_b,0.0009445829640493177
cat__spore-print-color_n,0.0008516854177982814
cat__stem-color_r,0.0008298708028129269
cat__veil-color_n,0.0007793583816076309
cat__cap-color_k,0.0007486085896868863
cat__stem-color_l,0.000564982281383985
cat__season_s,0.0004914643037736164
cat__habitat_h,0.0004670164367769893
cat__season_a,0.000423518892286489
cat__season_u,0.0004147921928972672
cat__habitat_w,0.0003628655778986706
cat__veil-color_e,0.0003609614708202347
cat__cap-color_l,0.00034525527963730706
cat__gill-color_b,0.00022805809637382017
cat__stem-color_b,0.00021636878727606217
cat__habitat_p,0.0001893611596222712
cat__veil-color_y,0.00016852046325034097
cat__gill-color_u,0.00014999749736369043
cat__spore-print-color_u,0.00011657806128022046
cat__spore-print-color_g,0.00010335261220782866
cat__stem-surface_f,9.653418113010453e-05
cat__stem-color_f,9.174167973849343e-05
cat__stem-root_f,8.991158522370003e-05
cat__veil-color_k,1.4008455869931902e-05
cat__habitat_u,1.0903214323397602e-05
cat__spore-print-color_r,1.3403304581628305e-06
cat__veil-type_u,0.0
